
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-05 21:06:59 ........................................................................................... ~ 0s
  2026-05-05 21:06:59 ........................................................................................... ~ 0s
  2026-05-05 21:06:59 ........................................................................................... ~ 0s
  2026-05-05 21:06:59 ........................................................................................... ~ 0s
  2026-05-05 21:06:59 ........................................................................................... ~ 0s
  2026-05-05 21:06:59 ........................................................................................... ~ 1s
  2026-05-05 21:07:00 ........................................................................................... ~ 0s
  2026-05-05 21:07:00 ........................................................................................... ~ 0s
  2026-05-05 21:07:00 ........................................................................................... ~ 0s
  2026-05-05 21:07:00 ........................................................................................... ~ 0s
  2026-05-05 21:07:00 ........................................................................................... ~ 0s
  2026-05-05 21:07:00 ........................................................................................... ~ 1s
  2026-05-05 21:07:01 ........................................................................................... ~ 0s
  2026-05-05 21:07:01 ........................................................................................... ~ 0s
  2026-05-05 21:07:01 ........................................................................................... ~ 0s
  2026-05-05 21:07:01 ........................................................................................... ~ 0s
  2026-05-05 21:07:01 ........................................................................................... ~ 0s
  2026-05-05 21:07:01 ........................................................................................... ~ 0s
  2026-05-05 21:07:01 ........................................................................................... ~ 0s
  2026-05-05 21:07:01 ........................................................................................... ~ 1s
  2026-05-05 21:07:01 ........................................................................................... ~ 1s
  2026-05-05 21:07:02 ........................................................................................... ~ 0s
  2026-05-05 21:07:02 ........................................................................................... ~ 0s
  2026-05-05 21:07:02 ........................................................................................... ~ 0s
  2026-05-05 21:07:02 ........................................................................................... ~ 0s
  2026-05-05 21:07:02 ........................................................................................... ~ 0s
  2026-05-05 21:07:02 ........................................................................................... ~ 0s
  2026-05-05 21:07:02 ........................................................................................... ~ 1s
  2026-05-05 21:07:02 ........................................................................................... ~ 1s
  2026-05-05 21:07:03 ........................................................................................... ~ 0s
  2026-05-05 21:07:03 ........................................................................................... ~ 0s
  2026-05-05 21:07:03 ........................................................................................... ~ 0s
  2026-05-05 21:07:03 ........................................................................................... ~ 0s
  2026-05-05 21:07:03 ........................................................................................... ~ 0s
  2026-05-05 21:07:03 ........................................................................................... ~ 0s
  2026-05-05 21:07:03 ........................................................................................... ~ 0s
  2026-05-05 21:07:03 ........................................................................................... ~ 1s
  2026-05-05 21:07:03 ........................................................................................... ~ 1s
  2026-05-05 21:07:04 ........................................................................................... ~ 0s
  2026-05-05 21:07:04 ........................................................................................... ~ 0s
  2026-05-05 21:07:04 ........................................................................................... ~ 0s
  2026-05-05 21:07:04 ........................................................................................... ~ 0s
  2026-05-05 21:07:04 ........................................................................................... ~ 0s
  2026-05-05 21:07:04 ........................................................................................... ~ 0s
  2026-05-05 21:07:04 ........................................................................................... ~ 1s
  2026-05-05 21:07:05 ........................................................................................... ~ 0s
  2026-05-05 21:07:05 ........................................................................................... ~ 0s
  2026-05-05 21:07:05 ........................................................................................... ~ 0s
  2026-05-05 21:07:05 ........................................................................................... ~ 0s
  2026-05-05 21:07:05 ........................................................................................... ~ 0s
  2026-05-05 21:07:05 ........................................................................................... ~ 0s
  2026-05-05 21:07:05 ........................................................................................... ~ 0s
  2026-05-05 21:07:05 ........................................................................................... ~ 1s
  2026-05-05 21:07:06 ........................................................................................... ~ 0s
  2026-05-05 21:07:06 ........................................................................................... ~ 0s
  2026-05-05 21:07:06 ........................................................................................... ~ 0s
  2026-05-05 21:07:06 ........................................................................................... ~ 0s
  2026-05-05 21:07:06 ........................................................................................... ~ 0s
  2026-05-05 21:07:06 ........................................................................................... ~ 0s
  2026-05-05 21:07:06 ........................................................................................... ~ 1s
  2026-05-05 21:07:07 ........................................................................................... ~ 0s
  2026-05-05 21:07:07 ........................................................................................... ~ 0s
  2026-05-05 21:07:07 ........................................................................................... ~ 0s
  2026-05-05 21:07:07 ........................................................................................... ~ 0s
  2026-05-05 21:07:07 ........................................................................................... ~ 1s
  2026-05-05 21:07:08 ........................................................................................... ~ 0s
  2026-05-05 21:07:08 ........................................................................................... ~ 0s
  2026-05-05 21:07:08 ........................................................................................... ~ 0s
  2026-05-05 21:07:08 ........................................................................................... ~ 0s
  2026-05-05 21:07:08 ........................................................................................... ~ 0s
  2026-05-05 21:07:08 ........................................................................................... ~ 0s
  2026-05-05 21:07:08 ........................................................................................... ~ 0s
  2026-05-05 21:07:08 ........................................................................................... ~ 1s
  2026-05-05 21:07:08 ........................................................................................... ~ 1s
  2026-05-05 21:07:09 ........................................................................................... ~ 0s
  2026-05-05 21:07:09 ........................................................................................... ~ 0s
  2026-05-05 21:07:09 ........................................................................................... ~ 0s
  2026-05-05 21:07:09 ........................................................................................... ~ 0s
  2026-05-05 21:07:09 ........................................................................................... ~ 0s
  2026-05-05 21:07:09 ........................................................................................... ~ 0s
  2026-05-05 21:07:09 ........................................................................................... ~ 1s
  2026-05-05 21:07:09 ........................................................................................... ~ 1s
  2026-05-05 21:07:10 ........................................................................................... ~ 0s
  2026-05-05 21:07:10 ........................................................................................... ~ 0s
  2026-05-05 21:07:10 ........................................................................................... ~ 0s
  2026-05-05 21:07:10 ........................................................................................... ~ 0s
  2026-05-05 21:07:10 ........................................................................................... ~ 0s
  2026-05-05 21:07:10 ........................................................................................... ~ 0s
  2026-05-05 21:07:10 ........................................................................................... ~ 1s
  2026-05-05 21:07:10 ........................................................................................... ~ 1s
  2026-05-05 21:07:11 ........................................................................................... ~ 0s
  2026-05-05 21:07:11 ........................................................................................... ~ 0s
  2026-05-05 21:07:11 ........................................................................................... ~ 0s
  2026-05-05 21:07:11 ........................................................................................... ~ 0s
  2026-05-05 21:07:11 ........................................................................................... ~ 0s
  2026-05-05 21:07:11 ........................................................................................... ~ 0s
  2026-05-05 21:07:11 ........................................................................................... ~ 0s
  2026-05-05 21:07:11 ........................................................................................... ~ 1s
  2026-05-05 21:07:12 ........................................................................................... ~ 0s
  2026-05-05 21:07:12 ........................................................................................... ~ 0s
  2026-05-05 21:07:12 ........................................................................................... ~ 0s
  2026-05-05 21:07:12 ........................................................................................... ~ 0s
  2026-05-05 21:07:12 ........................................................................................... ~ 0s
  2026-05-05 21:07:12 ........................................................................................... ~ 0s
  2026-05-05 21:07:12 ........................................................................................... ~ 0s
  2026-05-05 21:07:12 ........................................................................................... ~ 1s
  2026-05-05 21:07:12 ........................................................................................... ~ 1s
  2026-05-05 21:07:13 ........................................................................................... ~ 0s
  2026-05-05 21:07:13 ........................................................................................... ~ 0s
  2026-05-05 21:07:13 ........................................................................................... ~ 0s
  2026-05-05 21:07:13 ........................................................................................... ~ 0s
  2026-05-05 21:07:13 ........................................................................................... ~ 0s
  2026-05-05 21:07:13 ........................................................................................... ~ 0s
  2026-05-05 21:07:13 ........................................................................................... ~ 1s
  2026-05-05 21:07:14 ........................................................................................... ~ 0s
  2026-05-05 21:07:14 ........................................................................................... ~ 0s
  2026-05-05 21:07:14 ........................................................................................... ~ 0s
  2026-05-05 21:07:14 ........................................................................................... ~ 0s
  2026-05-05 21:07:14 ........................................................................................... ~ 0s
  2026-05-05 21:07:14 ........................................................................................... ~ 0s
  2026-05-05 21:07:14 ........................................................................................... ~ 1s
