kode_kecamatan,kecamatan,adm4
district_code,district_name,11.01.01.1001
110824,Pirak Timur,11.01.01.1153
110825,Geuredong Pase,11.01.01.1154
110826,Banda Baro,11.01.01.1155
110827,Nisam Antara,11.01.01.1156
110901,Simeulue Tengah (Simeuleu Tengah),11.01.01.1157
110902,Salang,11.01.01.1158
110903,Teupah Barat,11.01.01.1159
110904,Simeulue Timur (Simeuleu Timur),11.01.01.1160
110905,Teluk Dalam,11.01.01.1161
110906,Simeulue Barat (Simeuleu Barat),11.01.01.1162
110907,Teupah Selatan,11.01.01.1163
110908,Alafan (Alapan),11.01.01.1164
110909,Teupah Tengah,11.01.01.1165
110910,Simeulue Cut,11.01.01.1166
111001,Pulau Banyak,11.01.01.1167
111002,Simpang Kanan,11.01.01.1168
111004,Singkil,11.01.01.1169
111006,Gunung Meriah (Mariah),11.01.01.1170
111009,Kota Baharu,11.01.01.1171
111010,Singkil Utara,11.01.01.1172
111011,Danau Paris,11.01.01.1173
111012,Suro Makmur,11.01.01.1174
111013,Singkohor,11.01.01.1175
111014,Kuala Baru,11.01.01.1176
111016,Pulau Banyak Barat,11.01.01.1177
111101,Samalanga,11.01.01.1178
111102,Jeunieb,11.01.01.1179
111103,Peudada,11.01.01.1180
111104,Jeumpa,11.01.01.1181
111105,Peusangan,11.01.01.1182
111106,Makmur,11.01.01.1183
111107,Gandapura (Ganda Pura),11.01.01.1184
111108,Pandrah,11.01.01.1185
111109,Juli,11.01.01.1186
111110,Jangka,11.01.01.1187
111111,Simpang Mamplam,11.01.01.1188
111112,Peulimbang (Plimbang),11.01.01.1189
111113,Kota Juang,11.01.01.1190
111114,Kuala,11.01.01.1191
111115,Peusangan Siblah Krueng,11.01.01.1192
111116,Peusangan Selatan,11.01.01.1193
111117,Kuta Blang,11.01.01.1194
111201,Blangpidie (Blang Pidie),11.01.01.1195
111202,Tangan-Tangan,11.01.01.1196
111203,Manggeng,11.01.01.1197
111204,Susoh,11.01.01.1198
111205,Kuala Batee,11.01.01.1199
111206,Babah Rot,11.01.01.1200
111207,Setia,11.01.01.1201
111208,Jeumpa,11.01.01.1181
111209,Lembah Sabil,11.01.01.1202
111301,Blangkejeren (Blang Kejeren),11.01.01.1203
111302,Kutapanjang (Kuta Panjang),11.01.01.1204
111303,Rikit Gaib,11.01.01.1205
111304,Terangun (Terangon),11.01.01.1206
111305,Pining (Pinding),11.01.01.1207
111306,Blangpegayon (Blang Pegayon),11.01.01.1208
111307,Puteri Betung (Putri Betung),11.01.01.1209
111308,Dabun Gelang (Debun Gelang),11.01.01.1210
111309,Blangjerango (Blang Jerango),11.01.01.1211
111310,Teripe Jaya (Tripe Jaya),11.01.01.1212
111311,Pantan Cuaca,11.01.01.1213
111401,Teunom,11.01.01.1214
111402,Krueng Sabee,11.01.01.1215
111403,Setia Bhakti (Setia Bakti),11.01.01.1216
111404,Sampoi Niet (Sampoiniet),11.01.01.1217
111405,Jaya,11.01.01.1218
111406,Panga (Keude Panga),11.01.01.1219
111407,Indra Jaya,11.01.01.1220
111408,Darul Hikmah,11.01.01.1221
111409,Pasie Raya,11.01.01.1222
111501,Kuala,11.01.01.1191
111502,Seunagan,11.01.01.1223
